arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
qlora,broken_by_retrieval,da90c329-6f04-4f98-a593-097e7688c042,Surgery,D,B,0.25,"The facial proportions  between upper, middle and lower thirds of fare Is:",30:35:35,34:33:33,,,
qlora,broken_by_retrieval,587ef917-abf4-4b32-985c-e2020bd397cb,Biochemistry,D,B,0.0,Anaerobic glycolysis of which of these produces 3 ATPs per unit glucose consumed?,Glycogen,Fructose,,,
qlora,broken_by_retrieval,e803c024-5cd2-48f7-a3d1-c72f5e1563a6,Physiology,C,B,0.0,Which of the following is the diluting segment of kidney?,Ascending thick loop Henle,Collecting duct,,,
qlora,broken_by_retrieval,3a0f1fe5-a2b8-49a5-b032-13e2e508e682,Biochemistry,C,A,0.625,"A patient has normal blood glucose level as estimated by glucose-oxidase peroxidase method, shows positive Benedicts test in urine. Which of the following is the most likely cause?",Galactosemia,Fructosemia,,,
qlora,broken_by_retrieval,43232539-be9b-4292-8d95-7f9c5d909153,Surgery,A,B,0.75,"In arthroscopy, for TMJ adhesion lysis, the laser used is:",Ho-Yag,Er-Yag,,,
qlora,broken_by_retrieval,4f5ef465-6d08-454f-aa5c-53fc1eecb0ae,Anatomy,B,D,0.25,All of the following muscles are derived from pharyngeal arches except:,Levator palpebrae superioris,Orbicularis oculi,,,
qlora,broken_by_retrieval,e8aa61af-a6f5-49ed-a221-93765caf901f,Pathology,C,D,0.625,Which of the following diseases is diagnosed with the help of the flowcytometry pattern?,Hyper IgM syndrome,Severe combined immunodeficiency disease,,,
qlora,broken_by_retrieval,f14171b9-69fe-4e7f-b004-40f2eb8d4b8c,Pharmacology,C,D,0.75,All of these are G2 phase blockers except:,Paclitaxel,Daunorubicin,,,
qlora,broken_by_retrieval,9251f6b9-8124-4f34-8936-c66761486357,Dental,A,B,0.75,"Following intracoronal bleaching immediate composite restoration required, what has to be done:",Treat with catalase,Wait for 7 days is mandatory,,,
qlora,broken_by_retrieval,4cd85450-80cb-48af-b4d0-30c2d42495f9,Dental,D,A,0.375,"Name the curve which passes through the cusps of all the posteriors, reaches to condyle:",Curve of spee.,Curve of Wilson.,,,
qlora,confident_wrong,8654832a-f650-4836-82ba-cc59f14e1bb9,Pharmacology,A,C,1.125,"A 35-year-old male is put on thiazides for the treatment of primary hypertension. What would be the status of his urinary sodium, potassium and calcium in the first 24-hours of drug administration?","Sodium and potassium increases, calcium increases","Sodium and calcium increases, potassium decreases",,,
qlora,confident_wrong,cf86437d-6450-4196-9f54-8f69c84e89ba,Dental,C,B,2.125,Stress breakers are not used in partial denture construction because:,They are difficult to design and fabricate,Increase the vertical dimension,,,
qlora,confident_wrong,f0e91618-fb9d-4218-9c54-3cf1ef81a6fe,Biochemistry,D,C,1.25,"A child was brought to the hospital was found to have hypoglycemia, hepatomegaly and accumulation of highly branched glycogen called limit dextrins. He is likely to be suffering from:",Cori's disease,von Gierke's disease,,,
qlora,confident_wrong,54054782-8948-4be1-861f-dd67a24a5b9c,Biochemistry,B,A,1.625,Klenow fragment lacks the activity of?,5'-3' exonuclease,3'-5' exonuclease,,,
qlora,confident_wrong,0be1a1ff-99b1-4ebf-a544-fed28e70f77a,Dental,A,D,2.0,Fracture of gold restoration primarily depends on,Restoration design,All of above,,,
qlora,confident_wrong,bec8dd0c-aafe-44be-af2a-d55055476931,Surgery,A,C,1.0,"A 2 years old child suffers flame burns involving face, bilateral upper limbs and front of chest and abdomen. What is the body surface area involved?",40%,54%,,,
qlora,confident_wrong,cb67fe1b-fdf5-4478-b16b-7c0fdf4be59b,Dental,A,B,2.25,Indirect retainers are situated:,As far anteriorly from the fulcrum line,As close to the fulcrum line,,,
qlora,confident_wrong,164a4811-8e5b-48ed-b13e-798f2ca0d513,Medicine,C,A,1.125,Which of the following is true about WILSON disease,Low serum copper,"High copper in urine, high copper in serum",,,
qlora,confident_wrong,059b7c1c-bc8d-499d-ba18-42f173fc6501,Medicine,D,C,3.75,"In a patient with dengue hemorrhagic fever, which of the following is most important to monitor?",Hematocrit,Platelet count,,,
qlora,confident_wrong,90a1a7e3-3ff3-4653-8d13-3de6811b4eca,Pharmacology,A,D,1.25,"An unknown drug is being tested in experimental setup. The results obtained are given in the table. From these actions, new drug is likely to be:ParameterPlacebo treatedNew drug treatedHea rate7286Systolic BP110150Diastolic BP8068TremorsAbsentPresent",Beta-I and beta-2 agonist,Alpha-1 and beta-1 agonist,,,
