arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
rag-parity,broken_by_retrieval,a2f3d532-e063-4203-bba6-7f590a162dc7,Pediatrics,B,C,1.75,Hutchinson's triad includes?,"Interstitial keratitis, malformed molars, sensorineural deafness","Conductive deafness, malformed incisors, interstitial keratitis",,,
rag-parity,broken_by_retrieval,bba8abed-d437-429f-bb4d-fd224fc9ead8,Dental,A,C,5.5,Mesial and distal wall of class V cavity depends on:,Direction of enamel rods,Contour of gingiva,,,
rag-parity,broken_by_retrieval,4f5f8f0f-7956-4d71-b7ad-d29b76eda55f,Dental,B,A,3.5,The primary function of the dental pulp is:,Production of dentin,Nutritive,,,
rag-parity,broken_by_retrieval,4a6df62e-15c7-471f-8dc7-d13ff49f0502,Dental,C,D,3.5,Pulpal medication and thermal protection is given by,Traditional Liner (0.2-0.3 mm),Cement bases,,,
rag-parity,broken_by_retrieval,38810794-2735-4239-b36f-d9a509a2997f,ENT,B,C,18.5,"According to the WHO definition of hearing loss, what is the value to classify as profound hearing loss?",>81 dB,>91 dB,,,
rag-parity,broken_by_retrieval,43232539-be9b-4292-8d95-7f9c5d909153,Surgery,A,D,7.5,"In arthroscopy, for TMJ adhesion lysis, the laser used is:",Ho-Yag,Argon,,,
rag-parity,broken_by_retrieval,709f4d14-4462-4615-8827-be22270e2b55,Dental,D,C,4.5,For root fracture it is imperative to take X-ray at?,"45°,	90°, 110°","90°,	110°",,,
rag-parity,broken_by_retrieval,c54d9bde-0f32-4f38-a236-875013438ba9,Dental,D,B,5.0,Increased VDO results in,All of the above,Trauma to underlying tissues,,,
rag-parity,broken_by_retrieval,2cd59a69-5eb2-46ae-b71c-92d5ebc105a1,Dental,B,D,6.5,"Imaginary line joining MB1, Distal and Palatal orifices in maxillary 1st molar forms",Molar Triangle,None of the above,,,
rag-parity,broken_by_retrieval,c34c9996-5391-4655-9249-948fe2cb0d2b,Gynaecology & Obstetrics,A,B,4.0,Vasopressor of choice in pregnancy is:,Ephedrine,Phenylephrine,,,
rag-parity,confident_wrong,f19f48e2-8706-4f8b-bca5-66c3000f7b27,Psychiatry,D,A,7.25,"About depersonalization, which of the following is false:",Reality testing is lost,More common in females than male,,,
rag-parity,confident_wrong,5a6d126f-f4cd-4cf2-b58d-6390a88f80f1,Dental,D,A,4.75,Most commonly missing primary teeth are:,Maxillary canines,Maxillary central incisors,,,
rag-parity,confident_wrong,3b952daf-c786-4ed6-87f3-02f21e1a2997,Medicine,B,C,5.25,72-y ear-olo gentleman with normal renal functions presents with new onset focal seizures. Which of the following is the best drug to manage the patient?,Oxcarbazepine,Leviteracetam,,,
rag-parity,confident_wrong,c8353fc5-db77-40d7-970a-64309e53ba93,Forensic Medicine,C,A,6.25,"Calculate the Age of fetus having CRL 23 cm, foot length 7 cm. Talus is present and testes are present at superficial inguinal ring?",7 months,5 months,,,
rag-parity,confident_wrong,ef314f7b-421d-42bd-8878-4cd6abfc59bc,Dental,B,D,8.5,Silicate cement is indicated in:,Patients with high caries index,None of the above,,,
rag-parity,confident_wrong,4f2920dd-315c-4f5a-9208-80a4c443ceab,Medicine,A,D,6.75,"A 50 years old lady, who has a known diagnosis of bronchial asthma, presented to the AIIMS emergency with complaints of severe breathlessness, diaphoresis and wheezing. On examination, you find that the patient is conscious with a respiratory rate of 30 per minute, blood pressure of 96/64 mm Hg and a pulse rate of 144 per minute. An arterial blood gas analysis showed a pH of 7.2, p02 of 50 mm Hg and pCO, of 70 mm Hg. How will you manage the patient?",Ventilation with continuous positive airway pressure,Intubation,,,
rag-parity,confident_wrong,297808a8-9996-44f3-9753-1b0eec066d41,Forensic Medicine,C,A,6.5,"A lady was brought from village, unconscious, about 12 hours after ingesting some kind of unknown poison. Her heart rate was 103/min, blood pressure in 90/50 mm Hg and respiratory rate is 19/min. Her breath smelled like kerosene. All of the following should be done in her management, except:",Vasopressors should be administered intravenously,Gastric lavage should be done,,,
rag-parity,confident_wrong,9f529003-8d44-442b-8dfc-f839e7f96a72,Surgery,D,B,14.75,A 56 years old patient came to casualty with history of massive hemoptysis. His routine investigations and chest X-ray was normal. Which of the following is not done to prevent hemoptysis?,Lobectomy of the affected segment,Pulmonary artery embolization,,,
rag-parity,confident_wrong,25883737-550d-4264-ad32-bc1a320ca9a7,Dental,B,A,3.5,The instrument shown in fig is used for,Slow separation,Rapid separation,,,
rag-parity,confident_wrong,1488b57a-2f58-4b18-8124-e94d25e980fb,Social & Preventive Medicine,D,A,1.25,True statements regarding the calculation of HDI are all of the following except,Country's achievement is computed on the basis of adult literacy,"In gross enrolment, only secondary education is considered, not primary education",,,
rag-parity,fixed_by_retrieval,928c6efd-d481-4323-83f0-721dae436451,Pharmacology,A,A,32.75,Cholinomimetic is not used in which of the following?,Bradycardia,Bradycardia,,,
rag-parity,fixed_by_retrieval,01de6945-cd63-4096-9fda-e70148ee977d,Physiology,A,A,26.25,Within which parts of a gastric gland are chief cells located,Fundus,Fundus,,,
rag-parity,fixed_by_retrieval,5266b717-91e2-4c9f-94aa-2be119379a81,Social & Preventive Medicine,D,D,18.75,"Number of vision centers under vision 2020, a national program for control of blindness are -",20000,20000,,,
