question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,HBsAg persists in chronic hepatitis and recurrent hepatitis.,,
0150cd44-7abc-4723-8a8a-c17de3f20004,Biomineralization is a process by which inorganic `metals' are incorporated in the body and made a pa of biological structures. Example of Biomineralization is seen in:,Mollusc shell,Formation of hydroxyapatite in bone and teeth.,,
0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,13-20 weeks of gestation,,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,High angle case is a class II case with increased overbite or open bite.,,
12b43c0e-c864-4257-90ea-4641077d19ba,Hard swelling at the angle of mandible with numerous draining sinuses is most likely:,Actinomycosis,Phossy jaw,,
13781885-cf02-490f-ba56-152d97ccb152,Bacteria are most commonly ENGULFED by:,Neutrophilic leukocytes,Macrophages,,
1406e461-b277-4d57-9ff7-9ec3d60b97fe,Adrenaline used for controlling of bleeding during surgery may result in:,Cardiac arrhythmias,Severe bleeding and difficulty in controlling the bleeding.,,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,"The latest technique for obtaining bone grafts without damaging vital structures is the use of minimally invasive harvesting techniques, such as the use of a bone saw or drill to remove bone from the iliac crest, which allows for less trauma to surrounding tissues and vessels.",,
143fc0f8-8075-4833-a0e5-900ed6562a3a,Sjogren's syndrome includes all except:,Lymphoma,Xerophthalmia,,
157f841a-269b-4207-825d-2a62dd8cd197,Maximum steroid produced by fetal adrenal:-,Coisol,DHEA-S,,
185c4942-7886-4e49-b242-6634e83b0efb,Which of the following amino acids does not include post-translational modification?,Selenocysteine,Creatine,,
18ce280d-98c7-4a22-b4b7-038974b16c71,"All are true about nitric oxide, EXCEPT:",Acts via cAMP,Nitric oxide is a vasoconstrictor.,,
18feef0f-7e8e-4eca-b9b3-57f3973b9a5b,In which of the following conditions is the role of microbial plaque most obscure:,Desquamative gingivitis,Candidiasis,,
1a31abe7-fbc1-41bc-b42d-fab66edfef39,The most important career of cholesterol in plasma is:,LDL,Transported as lipoproteins in plasma.,,
1badc5bb-d61a-48ea-9288-3754612f74a5,"In a JubLeitter arca pith crude birth rate of 211, what would be the expected number of ANC registrations?",60,105,,
1ca4f1ef-d7dd-4909-bb00-e0c5700e2bf8,"AIDS, secondary infection will be all except",Rubella,Tuberculosis is the most common opportunistic infection in AIDS.,,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,denaturation of proteins and oxidation of lipids.,,
13f3fee3-7298-41b1-9d44-a7d68b22db11,Submandibular calculus can be removed by:,Incision of the duct and removal of calculus,"Intraoral extraction, surgical excision, or endoscopic removal.",,
16bc295d-3db6-4565-a611-b677ced1de6b,Treatment of postpartum hemorrhage is all except:,Oestrogen,Total hysterectomy is not the treatment of postpartum hemorrhage.,,
240aaafe-ec41-447b-85eb-d8da168c1430,"According to piagets, the period of pre operational stage is:",2-6 years.,2 to 7 years of age,,
26d80f62-bb99-43ee-8972-aa4dab9a8264,A middle-aged man comes after a road traffic accident with bleeding from the scalp. He is unconscious. A card in his pocket reveals that he is a known diabetic on Tab Glimepiride + Metformin 2 tablets twice daily. What should the next step in management?,"Airway, CT scan. Blood sugar if <70 start dextrose",The patient should be given intravenous glucose to prevent hypoglycemia.,,
32a5b512-866e-4bd6-b9b5-9c26c7625705,"The effectiveness of condensing porcelain powder to
reduce shrinkage is determined by",Shape and size of the particle,"The effectiveness of condensing porcelain powder to reduce shrinkage is determined by the degree of compaction achieved during the condensation process, which is influenced by the forces applied and the technique used.",,
36eda6ec-6654-41ba-937b-60a3052e6c49,A patient believes he is the most important person in the world than anyone so his neighbors and family is trying to harm him as they are jealous of him. His wife says otherwise and says he behaves like this recently only before he was working as a school-teacher peacefully and brought to OPD. He is suffering from:,"Delusion of grandiosity, persecution and reference",Delusion of persecution (paranoid),,
37332d92-237c-4846-84e5-27def7ec1805,Gingival hyperplasia is caused by all except,Carbamazepine,Phenytoin,,
44c704bc-4331-45a6-b6a8-dd8a5a0b7d18,Which of the following hormone is/are under inhibitory of hypothalamus?,Both prolactin and growth hormone,Prolactin is the only pituitary hormone which is primarily under inhibitory control of hypothalamus. Its secretion is suppressed by dopamine (Prolactin inhibitory substance) secreted by hypothalamus.,,
470f224d-77cb-41dc-81e2-52f4cdce2acd,causes of thyroid storm,Poor Preoperative preparation of the patient,"Thyroid storm is a rare, life-threatening condition characterized by severe clinical manifestations of thyrotoxicosis, often precipitated by surgery, infection, or abrupt cessation of anti-thyroid medications.",,
4f5f8f0f-7956-4d71-b7ad-d29b76eda55f,The primary function of the dental pulp is:,Production of dentin,The primary function of the dental pulp is to provide nourishment to the tooth and to provide sensory innervation to the tooth.,,
59fcd56f-73e9-49e5-8cd0-8097402935ec,Immunologicaly active cells are:,Plasma cells,"Immunologically active cells are those that are involved in the immune response, such as T-lymphocytes, B-lymphocytes, macrophages, neutrophils, and natural killer cells.",,
5b062fde-455e-4ab5-aa3b-a661c3643f42,All are true about Doctrine ofborrowed servant except?,Doctor assisting a surgeon for fee in OT,The hospital is not responsible for senior medical staff as master servant relationship does not exist.,,
65c68635-397b-4ed9-b4a3-8e798c91613e,In pregnancy cardiac output increases 30 to 40% during?,28 weeks of gestation,Early pregnancy,,
729e5ae9-94b3-4aa0-be92-c64186ec1875,Incorporation of peripheral seal in an impression is necessary to obtain;,Functionally moulded periphery,accurate reproduction of the tooth and its relationship to the surrounding tissues.,,
73828c81-172b-4aec-b517-c0d345c4749d,"Out of Syphilitic glossitis, Plummer Vinson syndrome, Mikulicis syndrome and hepatitis A; which of these  predispose to squamous cell carcinoma",Syphilitic glossitis and plummer Vinson syndrome,Plummer Vinson syndrome is associated with squamous cell carcinoma of esophagus.,,
01731260-fa5c-45ae-bbf3-5aed1b1cb9b9,Which of the following are the predominant connective tissue cells of the periodontal Ligament?,Fibroblasts,The predominant connective tissue cells of the periodontal ligament are fibroblasts.,,
0190a0f3-416a-4d56-a172-7738b023fd28,A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given:,Erythromycin,Erythromycin,,
02d36d4b-a89c-4756-b20a-51cb7c392eec,Best test that shows the integrity of intrinsic pathway of clotting mechanism,aPTT,Partial thromboplastin time (PTT),,
05898954-fc92-4bad-9b79-bfc238a3d416,The special visceral afferent fibres of the facial nerve are located in which nuclei:,Nucleus of tractus solitarius,The special visceral afferent fibres of the facial nerve are located in the nucleus of tractus solitarius.,,
05ae5b1d-15cd-4035-99a7-d6cae3e4909e,The biofilms found on tooth surfaces are termed as:,Dental plaque,Dental plaque,,
067ce5ef-1dae-4f0a-8a61-bcd7750dd379,Foramen caecum is seen in:,Option 1 and 2,Foramen caecum is seen in the posterior aspect of the tongue.,,
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,The zygomatic bone does not articulate with:,Nasal bone,Tibia and fibula,,
0778d314-486a-4af0-b2bd-cab83e7e2166,"A 10 year old girl presented with fever convulsions, neck rigidity. CSF findings are protein 150 mg, sugar 40 mg, chloride 2500 mg with lymphadenopathy –",Tuberculous meningitis,Tubercular meningitis is the most likely diagnosis.,,
07f12102-6d93-4392-a50f-fb7424f73683,According to Kim and colleagues which of the following describe type IV isthmus?,Complete or incomplete isthmus between three or more canals,Type IV isthmus is 3 or more canals with the complete or incomplete isthmus.,,
0b81f878-0e23-4c6b-9fcd-697e8ea660c3,Inferiohyroid artery is a branch ol?,Thyrocervical trunk,Thyrocervical trunk of subclan artery,,
0ba9328b-c265-4d98-8259-314789a2f00d,Brachytherapy is:,Irradiation of tissues by implants within the tissues,"A type of radiation therapy in which radioactive sources are placed in close proximity to or directly into the tumor tissue, delivering a high dose of radiation to the tumor while minimizing exposure to surrounding healthy tissue.",,
0f589144-f2e9-4377-850f-9dc2aaf127da,"One unit of PRBC raises HCT by: (In exam instead of HCT, they wrote HCV, which we assume to be a spelling error):",3-5%,3%,,
10b04be8-a89b-4858-b1b6-8af09fe6a716,Major mechanism of transport of drugs across biological membranes is by ?,Passive diffusion,Passive diffusion,,
12342b20-b7a0-4f14-91ed-c764fc51ed7b,Sensory supply of cornea is by?,Nasolacrimal nerve (probably printing mistake - probably Nasociliary nerve).,Ophthalmic division of trigeminal nerve,,
157101aa-f928-4f25-8b8a-51e712b3e7ff,The probability of a test detecting a truly positive person from the population of diseased is the,Sensitivity of the test,Sensitivity,,
16e734ad-7969-42f1-8bbe-46cd79dd7bdd,IQ range 90-109 is:,Average.,Normal IQ,,
1cc77b91-e4a8-42ce-8182-c61f6c7cffea,Which of the following to reduce for occlusal equilibration:,Upper buccal,"The guiding grooves for occlusal reduction are placed in the central, mesial, and distal fossae, and in the buccal and lingual developmental grooves and in each triangular ridge extending from the cusp tip to the center of its base.",,
1e94a9ca-55e4-4e9a-bf7b-cb2dc4ba2ab5,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",HAV,Hepatitis B infection,,
