question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,"ALT and AST are elevated in acute hepatitis but return to normal in chronic hepatitis. However, in recurrent hepatitis, they remain elevated.",,
0150cd44-7abc-4723-8a8a-c17de3f20004,Biomineralization is a process by which inorganic `metals' are incorporated in the body and made a pa of biological structures. Example of Biomineralization is seen in:,Mollusc shell,Formation of enamel and dentin in teeth.,,
02d36d4b-a89c-4756-b20a-51cb7c392eec,Best test that shows the integrity of intrinsic pathway of clotting mechanism,aPTT,PT (Prothrombin time),,
067ce5ef-1dae-4f0a-8a61-bcd7750dd379,Foramen caecum is seen in:,Option 1 and 2,Anterior to the foramen cecum is the tuberculum impar and posterior to it is the sulcus terminalis.,,
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,The zygomatic bone does not articulate with:,Nasal bone,The zygomatic bone does not articulate with the maxilla.,,
07f12102-6d93-4392-a50f-fb7424f73683,According to Kim and colleagues which of the following describe type IV isthmus?,Complete or incomplete isthmus between three or more canals,Isthmus is a narrow region of the denture base that is located between the posterior palatal seal and the posterior palatal bar. Type IV isthmus is a narrow isthmus that is located between the posterior palatal seal and the posterior palatal bar.,,
0b81f878-0e23-4c6b-9fcd-697e8ea660c3,Inferiohyroid artery is a branch ol?,Thyrocervical trunk,Superior thyroid artery,,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,"Denaturation of proteins and enzymes, and disruption of cell membranes.",,
0f589144-f2e9-4377-850f-9dc2aaf127da,"One unit of PRBC raises HCT by: (In exam instead of HCT, they wrote HCV, which we assume to be a spelling error):",3-5%,1.5%,,
12b43c0e-c864-4257-90ea-4641077d19ba,Hard swelling at the angle of mandible with numerous draining sinuses is most likely:,Actinomycosis,Mycetoma of the jaw,,
13781885-cf02-490f-ba56-152d97ccb152,Bacteria are most commonly ENGULFED by:,Neutrophilic leukocytes,Macrophages,,
1406e461-b277-4d57-9ff7-9ec3d60b97fe,Adrenaline used for controlling of bleeding during surgery may result in:,Cardiac arrhythmias,Increased blood pressure and tachycardia.,,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,Cryopreservation,,
143fc0f8-8075-4833-a0e5-900ed6562a3a,Sjogren's syndrome includes all except:,Lymphoma,Xerostomia is not a feature of Sjogren's syndrome.,,
157f841a-269b-4207-825d-2a62dd8cd197,Maximum steroid produced by fetal adrenal:-,Coisol,Coicosterone,,
16bc295d-3db6-4565-a611-b677ced1de6b,Treatment of postpartum hemorrhage is all except:,Oestrogen,Bilateral uterine artery embolization is not used for postpartum hemorrhage.,,
0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,20-30 weeks of pregnancy,,
20445700-6fe0-4e44-b27c-561d580c5ea9,HCO3/H2CO3 is the best buffer because it is:,Its components can be increased or decreased in the body as needed,present in all body fluids and is the most important buffer in the body.,,
240aaafe-ec41-447b-85eb-d8da168c1430,"According to piagets, the period of pre operational stage is:",2-6 years.,2-7 years of age.,,
2988090f-7d5e-40a5-ba16-3198f4e345a3,"A 6 years old child with development delay, can ride a tricycle, can climb upstairs with alternate feet, but downstairs with 2 feet per step, can tell his name, known his own sex, but cannot narrate a story. What is his development age?",3 years,3 years 6 months,,
3624f5cd-a2a5-4f5f-9b7e-ee57ea1b3c4a,A patient who has recently received a pair of complete denture complains of difficulty in swallowing. The reason for this is most likely to be:,Excessive vertical dimension of occlusion with resulting decrease in interacclusal distance,The denture is too deep in the vestibule and is interfering with the normal movement of the tongue.,,
36eda6ec-6654-41ba-937b-60a3052e6c49,A patient believes he is the most important person in the world than anyone so his neighbors and family is trying to harm him as they are jealous of him. His wife says otherwise and says he behaves like this recently only before he was working as a school-teacher peacefully and brought to OPD. He is suffering from:,"Delusion of grandiosity, persecution and reference",Delusional disorder (paranoid type),,
37332d92-237c-4846-84e5-27def7ec1805,Gingival hyperplasia is caused by all except,Carbamazepine,Phenytoin,,
3b2ef8ce-ddbe-4e5f-845f-f0085dc98bf7,"A continuum to sedation, anxiolysis is referred to:",Minimal sedation,Anxiolysis is a continuum to sedation.,,
