arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
qlora-rag-parity,broken_by_retrieval,38810794-2735-4239-b36f-d9a509a2997f,ENT,B,C,3.875,"According to the WHO definition of hearing loss, what is the value to classify as profound hearing loss?",>81 dB,>91 dB,,,
qlora-rag-parity,broken_by_retrieval,c1aa8a36-280b-4195-b6eb-7f5b581ded0d,Dental,B,A,1.5,Mandibulectomy cantor Curtis class 2 defect Is,lateral to canine,Midline,,,
qlora-rag-parity,broken_by_retrieval,6bb818fb-dbe5-4580-8f45-d6e875bf0516,Gynaecology & Obstetrics,D,A,0.25,A 28 year old eclamptic woman develop convulsions.The first measure to be done is:,Care of airway,Give MgSO4,,,
qlora-rag-parity,broken_by_retrieval,e33fee37-ca36-4d99-887d-2349c1beb5c1,Ophthalmology,D,C,0.875,"As compared to blood, vitreous humor has high concentration of:",Ascorbate,Glucose,,,
qlora-rag-parity,broken_by_retrieval,16f0079a-a1c9-4a10-a9c7-2fa11f8bddba,Gynaecology & Obstetrics,A,D,0.25,Which of the following statements is true about Swyer svndrome?,Can be fertile with surrogacy,Gonadectomy is indicated for all patients,,,
qlora-rag-parity,broken_by_retrieval,47f3d905-57f2-47d1-b710-b40e20b635a2,Dental,A,B,0.125,"In sleep apnea syndrome, AHI Index for mild sleep apnea is",>5,>15,,,
qlora-rag-parity,broken_by_retrieval,7e01c8f0-9b7e-4884-ad40-0c2487a4f5cb,Pathology,D,C,0.0,False about Bone marrow biopsy,"Contraindicated when platelet count is below 40,000",Breath holding not necessary,,,
qlora-rag-parity,broken_by_retrieval,3bd6c1d7-7d78-4279-8347-7fd70f37a262,Physiology,C,D,0.5,Myosin head detachment from actin is triggered by:-,Binding of ATP to head,Hydrolysis of ATP to ADP and Pi,,,
qlora-rag-parity,broken_by_retrieval,3a0e01d0-4230-4633-a7a9-624a0c32a486,Surgery,B,A,0.875,Main mechanism of action of heparin Is to prevent:,Conversion of prothrombin to thrombin,Conversion of fibrinogen to fibrin,,,
qlora-rag-parity,broken_by_retrieval,c34c9996-5391-4655-9249-948fe2cb0d2b,Gynaecology & Obstetrics,A,B,0.25,Vasopressor of choice in pregnancy is:,Ephedrine,Phenylephrine,,,
qlora-rag-parity,confident_wrong,959f8a7b-ea3c-40f9-a6a3-f90248f7e8d2,Surgery,C,A,1.5,Tachycardia in a patient in shock is response to:,CNS anoxia,Hypotension,,,
qlora-rag-parity,confident_wrong,3e5e641e-80c1-42e1-9d7d-e659bde99dbe,Physiology,A,D,5.5,Which of the following is rapid source of energy by resynthesizing ATP for exercising muscles is?,Glycolysis,Phosphocreatine,,,
qlora-rag-parity,confident_wrong,ef1fe490-ef5b-40a4-8aae-062d5976bd90,Social & Preventive Medicine,A,C,1.375,"In a group of 100 people, the average GFR is 85 ml/ min with a standard detion of 25. What is the range for 90% confidence interval?",81-89,75-95,,,
qlora-rag-parity,confident_wrong,b9bcd2d8-268e-44fa-b162-9473d60055d9,Dental,A,B,1.0,Creep rate decreases with:,Increase force of condensation,Decrease force of condensation,,,
qlora-rag-parity,confident_wrong,e05a465a-5c90-4c80-afda-56d0e6070792,Dental,A,B,2.0,Normally Maxillary first molar has,3 roots and 3 canals,3 roots and 4 canals,,,
qlora-rag-parity,confident_wrong,1e94a9ca-55e4-4e9a-bf7b-cb2dc4ba2ab5,Microbiology,B,A,1.875,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",HAV,HIV,,,
qlora-rag-parity,confident_wrong,86e26dc5-2f48-45b1-82df-b14ffbc11fcb,ENT,A,B,2.0,Which is the most common site for congenital cholesteatoma,Anterior superior quadrant of tympanic membrane,Posterior superior quadrant of tympanic membrane,,,
qlora-rag-parity,confident_wrong,e4e65063-c1b6-43c7-9dbc-f18bffde95aa,Dental,C,A,1.0,Condensation shrinkage of porcelain during firing depends on:,Shape and size of particle.,Rate of arriving at firing temperature.,,,
qlora-rag-parity,confident_wrong,059b7c1c-bc8d-499d-ba18-42f173fc6501,Medicine,D,C,1.25,"In a patient with dengue hemorrhagic fever, which of the following is most important to monitor?",Hematocrit,Platelet count,,,
qlora-rag-parity,confident_wrong,8e282abb-59be-434b-be33-a0928db221ff,Dental,B,A,3.875,Which of the following is a tertiary monoblock system of obturation of the root canal.,Active Gutta percha,Resilon monoblock obturation,,,
qlora-rag-parity,fixed_by_retrieval,cfd037d5-868e-49d9-89e8-a084e84ce0dc,Pediatrics,B,B,1.125,A child presented with respiratory distress was brought to emergency with bag and mask ventilation. Now child is intubated. Chest X–ray shows right–sided deviation of mediastinum with scaphoid abdomen. His Pulse rate is increased. What is the next step ?,Put a nasogastric tube,Put a nasogastric tube,,,
qlora-rag-parity,fixed_by_retrieval,599296cf-99e1-4a99-8322-cc24fef094a7,Gynaecology & Obstetrics,A,A,0.375,"A Rh-negative mother, who has Indirect Coombs Test (ICT), negative was given Anti-D during 28 weeks of pregnancy. Which of the following is the ideal one?",Give another dose of Anti-D 72 hours postpartum depending on the baby blood group,Give another dose of Anti-D 72 hours postpartum depending on the baby blood group,,,
qlora-rag-parity,fixed_by_retrieval,8d6e792f-bd4c-4f9e-b9a4-63484a7f78a6,Dental,A,A,2.5,What should be the best treatment option for the extraction socket shown in  Fig,Ovate Pontic,Ovate Pontic,,,
qlora-rag-parity,fixed_by_retrieval,deb040bd-9d07-444c-bae9-ae2b1c309ea5,Biochemistry,A,A,0.125,"A lady presented with fatigue and tingling sensation in both hands and legs. On examination, she is found to have a fissured red tongue, lesions at angle of mouth and peripheral neuropathy with a decreased RBC glutathione reductase activity. What is the likely deficient vitamin?",Riboflavin,Riboflavin,,,
qlora-rag-parity,fixed_by_retrieval,7aa9be4f-bb90-4284-8816-b7360a1a444b,Physiology,C,C,0.875,All of the following increases calcium absorption from the gut except,Alkaline pH in the gut,Alkaline pH in the gut,,,
qlora-rag-parity,fixed_by_retrieval,b444b8b8-faf7-4a56-be73-c880ad2f2c8f,Dental,B,B,0.25,"In which of the following condition, mandibular stabilization is not governed by the facial nerve contraction?",Mature swallow,Mature swallow,,,
qlora-rag-parity,fixed_by_retrieval,7cc77f7a-78ba-4980-a4f8-cc1ae7ffb6fe,Anatomy,D,D,1.5,Soft palate is made up of:,All of the above,All of the above,,,
qlora-rag-parity,fixed_by_retrieval,64dbc15a-1052-4e21-8f02-e83da8a1e157,Medicine,C,C,2.0,Which of the following is the most commonly used drug for management of community acquired pneumonia?,Azithromycin,Azithromycin,,,
qlora-rag-parity,fixed_by_retrieval,360f90ec-189e-464a-a60d-ed9d9bda46ef,Ophthalmology,B,B,0.375,What is the usual weight of rabbit used in ophthalmological experiments?,1.5-2.5 kg,1.5-2.5 kg,,,
qlora-rag-parity,fixed_by_retrieval,bc74b992-2aef-440e-81a2-17958caecbee,Dental,A,A,1.25,Mantle dentin is a layer next to:,DE],DE],,,
qlora-rag-parity,near_miss,bebb654f-88d5-4a1f-a9fb-dd65b42beeca,Dental,D,B,0.0,In carrier base gutta percha the plastic carrier size of 40- 90 are made by?,Poly sulphone,Poly propylene,,,
qlora-rag-parity,near_miss,5f65e5aa-a984-49bd-aad6-0292fa0e07d8,Dental,D,B,0.125,"On rubber dam application gingiva is seen protruding out of margins, it can be seen due to?",Holes placed too close together,Holes paced too far apart,,,
qlora-rag-parity,near_miss,e7173db8-8f12-46b3-a2e8-86eaa2574855,Medicine,B,C,0.125,"Routine examination of a 17 years old asymptomatic boy reveals short PR interval, and delta wave on ECG. The least effective measure for the boy would be:",Treadmill stress test,Beta blocker,,,
