question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,The marker that persists in chronic hepatitis and recurrent hepatitis is elevated serum alanine aminotransferase (ALT) levels.,,
05898954-fc92-4bad-9b79-bfc238a3d416,The special visceral afferent fibres of the facial nerve are located in which nuclei:,Nucleus of tractus solitarius,The special visceral afferent fibres of the facial nerve are located in the superior salivatory nucleus and the petrosal nucleus.,,
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,The zygomatic bone does not articulate with:,Nasal bone,"The zygomatic bone does not articulate with the maxilla. It articulates with the temporal bone, sphenoid bone, and frontal bone.",,
0778d314-486a-4af0-b2bd-cab83e7e2166,"A 10 year old girl presented with fever convulsions, neck rigidity. CSF findings are protein 150 mg, sugar 40 mg, chloride 2500 mg with lymphadenopathy –",Tuberculous meningitis,"The clinical presentation and CSF findings are consistent with bacterial meningitis, and the lymphadenopathy suggests a possible spread of infection.",,
07f12102-6d93-4392-a50f-fb7424f73683,According to Kim and colleagues which of the following describe type IV isthmus?,Complete or incomplete isthmus between three or more canals,"According to Kim and colleagues, type IV isthmus is characterized by a wide isthmus with a narrow or absent pyriform sinus.",,
0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,"Chicken pox infection in the mother is most dangerous for the baby when it occurs during the first 20 weeks of pregnancy, particularly in the first trimester.",,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,"Dry heat destroys microorganisms by denaturing proteins and disrupting cellular structures, leading to cell death.",,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,"A high angle case refers to a situation in orthodontics where the upper jaw (maxilla) is positioned too far back relative to the lower jaw (mandible), resulting in a Class II skeletal relationship.",,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,The latest technique for obtaining bone grafts without damaging vital structures is based on the use of minimally invasive methods such as guided bone regeneration (GBR) and the application of advanced imaging technologies like cone-beam computed tomography (CBCT) to precisely plan and execute the grafting procedure.,,
157f841a-269b-4207-825d-2a62dd8cd197,Maximum steroid produced by fetal adrenal:-,Coisol,The maximum steroid produced by the fetal adrenal is dehydroepiandrosterone (DHEA). It is primarily synthesized in the zona reticularis of the fetal adrenal cortex.,,
