question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,"The serum HBsAg quantification persists in chronic hepatitis and is associated with the presence of cccDNA, making it a marker of ongoing infection.",,
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,The zygomatic bone does not articulate with:,Nasal bone,The zygomatic bone does not articulate with the palatine bone.,,
07f12102-6d93-4392-a50f-fb7424f73683,According to Kim and colleagues which of the following describe type IV isthmus?,Complete or incomplete isthmus between three or more canals,"The reference passages do not provide specific information about type IV isthmus as described by Kim and colleagues. Therefore, I cannot provide a direct answer based on the given references.",,
0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,"Chicken pox infection in the mother is most dangerous for the baby when it occurs within seven days before or after delivery, leading to neonatal varicella, which has a high mortality rate.",,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,"Dry heat destroys microorganisms by denaturing their proteins and disrupting their cellular structures, leading to cell death.",,
0f589144-f2e9-4377-850f-9dc2aaf127da,"One unit of PRBC raises HCT by: (In exam instead of HCT, they wrote HCV, which we assume to be a spelling error):",3-5%,"One unit of PRBC raises HCT by approximately 1-2%. This is based on standard transfusion guidelines, as the mention of HCV in the question is likely a spelling error.",,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,"A high angle kappa indicates that the visual axis is more divergent from the pupillary axis, potentially leading to edge effects from the anterior IOL surface's rings, which may affect visual outcomes in multifocal IOL implantation.",,
12b43c0e-c864-4257-90ea-4641077d19ba,Hard swelling at the angle of mandible with numerous draining sinuses is most likely:,Actinomycosis,The hard swelling at the angle of the mandible with numerous draining sinuses is most likely a dentigerous cyst or an odontogenic keratocyst.,,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,"The latest technique for obtaining a bone graft without damaging vital structures and vessels is based on the use of a vascularized bone graft with preserved endosteal and periosteal blood supply, allowing for revascularization and osteogenesis through invasion by surrounding tissues.",,
143fc0f8-8075-4833-a0e5-900ed6562a3a,Sjogren's syndrome includes all except:,Lymphoma,Sjögren's syndrome includes all except renal disease.,,
157f841a-269b-4207-825d-2a62dd8cd197,Maximum steroid produced by fetal adrenal:-,Coisol,"The maximum steroid produced by the fetal adrenal gland is dehydroepiandrosterone sulphate (DHEAS), primarily synthesized by the fetal zone.",,
17f11735-64fc-47ec-b06b-c9124e27c1cf,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is:,Lateral Oblique view,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is the axillary lateral view.,,
185c4942-7886-4e49-b242-6634e83b0efb,Which of the following amino acids does not include post-translational modification?,Selenocysteine,"The amino acid that does not typically include post-translational modification is tryptophan, as it is primarily subject to photo-oxidation rather than common modifications like acetylation, methylation, or phosphorylation.",,
18ce280d-98c7-4a22-b4b7-038974b16c71,"All are true about nitric oxide, EXCEPT:",Acts via cAMP,Nitric oxide is not a colourless gas formed by combustion in a reducing atmosphere.,,
18feef0f-7e8e-4eca-b9b3-57f3973b9a5b,In which of the following conditions is the role of microbial plaque most obscure:,Desquamative gingivitis,"The role of microbial plaque is most obscure in periodontitis, as it involves complex interactions between the microbiota, host factors, and inflammatory responses, with some cases remaining refractory to treatment.",,
1a31abe7-fbc1-41bc-b42d-fab66edfef39,The most important career of cholesterol in plasma is:,LDL,The most important career of cholesterol in plasma is as a structural component of cell membranes and as a precursor for steroid hormones and bile acids.,,
0150cd44-7abc-4723-8a8a-c17de3f20004,Biomineralization is a process by which inorganic `metals' are incorporated in the body and made a pa of biological structures. Example of Biomineralization is seen in:,Mollusc shell,"Biomineralization is a process by which inorganic materials, such as hydroxyapatite (HA), are incorporated into biological structures. An example is the formation of HA crystals within the collagen matrix of bone, as described in the reference passages.",,
