arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
rag-external,broken_by_retrieval,16b0d12a-6521-4f27-a70f-2726a7a3f6a3,Pediatrics,C,D,6.25,Treatment of choice in childhood thyrotoxicosis :,Carbimazole,Surgery,,,
rag-external,broken_by_retrieval,b4723de5-5313-495c-b366-464e4e5cd145,Dental,A,B,22.5,Mechanism of adhesion of GIC restoration with tooth surface is by means of?,Carboxyl group,Chelates with Metal Ions,,,
rag-external,broken_by_retrieval,8a82f9e4-b38f-43f6-9d8d-4ef8a6a4bcbf,Medicine,B,D,0.5,"40-year male patient who was a known smoker presents in AIIMS OPD with fever, latigue, jaundice, yellow colored urine with clay colored stools. For the past few days he had developed aversion to cigarette smoking. On examination scleral icterus was present. LFT are:Total Bill18.5Direct Bill7.5SGOT723SGPT812What investigations will you send for ruling out acute viral hepatitis?","AntiHAV, HBsAg, IgM antiHBc, AntiHCV","AntiHAV IgMantiHBC, AntiHCV, AntiHEV.",,,
rag-external,broken_by_retrieval,f64d5fed-0367-40d2-bdf2-cb288459a83a,Physiology,C,D,4.0,Maximum area in homunculus signifies?,Increased precisiveness of movements,None of the above,,,
rag-external,broken_by_retrieval,b32d6655-6939-4b8d-b7da-e7274a017cfd,Pathology,A,D,3.0,Which of the following statement is not true about glomerular basement membrane?,Type III collagen is present,Glomerular basement membrane is involved in charge dependent filtration,,,
rag-external,broken_by_retrieval,3d3d18de-8e78-4d58-90f4-2c9257c76a5e,Orthopaedics,A,D,3.5,Which fracture results in the given deformity?,Supracondylar fracture of humerus,Radial head fracture,,,
rag-external,broken_by_retrieval,c1aa8a36-280b-4195-b6eb-7f5b581ded0d,Dental,B,A,1.25,Mandibulectomy cantor Curtis class 2 defect Is,lateral to canine,Midline,,,
rag-external,broken_by_retrieval,bf0eabec-95a0-46e1-a9b7-dae6c29dadde,Pediatrics,B,A,1.0,Asphyxial injury in a term baby is characterized by all except –,Differential hypotonia (lower limbs > upper limbs),Seizures,,,
rag-external,broken_by_retrieval,db180b6d-8b4e-487e-a47d-7c554c8dad2e,Dental,C,D,19.0,Which of the following show chemical bond with enamel (calcified tissues)?,Polycarboxylate cements,BIS-GMA resins in pit and fissure sealants,,,
rag-external,broken_by_retrieval,930d4945-04ef-4c32-9c9d-279e8226f852,Anaesthesia,A,D,10.75,A 46 years old male patient was given subarachnoid block with bupivacaine (heavy) by the anesthetist. After 10 minutes he was found to have a BP of 72/44 mm Hg and heart rate of 52/min. On checking the level of block it was found to be T6. What is the likely explanation for the bradvcardia?,Bezold-Jarisch reflex,Reverse Bainbridge reflex,,,
rag-external,confident_wrong,5eb13f65-9515-424e-ac36-0b92caf71771,Surgery,D,A,16.25,"SCC present on lateral margin of tongue of staging T2N0, options of treatment is",Remove Lymph node I-IV along with,SOHND (supraomohyoid neck dissections),,,
rag-external,confident_wrong,8654832a-f650-4836-82ba-cc59f14e1bb9,Pharmacology,A,C,9.25,"A 35-year-old male is put on thiazides for the treatment of primary hypertension. What would be the status of his urinary sodium, potassium and calcium in the first 24-hours of drug administration?","Sodium and potassium increases, calcium increases","Sodium and calcium increases, potassium decreases",,,
rag-external,confident_wrong,61ac5df1-c2c1-48ba-9e04-b86120f10110,Pathology,A,D,4.5,Radiation affects all three germ layers (ectoderm mesoderm and endoderm) in which of the following,Teratoid cyst,Branchial cyst,,,
rag-external,confident_wrong,794c0e78-516c-44ae-8eba-768371a3ca6c,Ophthalmology,C,A,5.75,What is the angle subtended by the largest letter in the Snellen chart on a person's eye who is reading it from a distance of 6 meters?,50 minutes,1 minute,,,
rag-external,confident_wrong,de4374af-70ba-41e4-b46a-5159e73a690e,Dental,D,A,10.75,In full tooth borne dentures occlusal rests transmits _________ percentage of occlusal forces to teeth:,100%,50%,,,
rag-external,confident_wrong,98035f50-53b3-47c8-b340-392237162fb2,Dental,C,D,4.5,Condensation reaction occurs in,Polysulfide,ZOE,,,
rag-external,confident_wrong,9966da1a-111f-4674-b558-d4f28759caff,Social & Preventive Medicine,B,C,6.75,APGAR scores of 30 children are recorded in a hospital and most of the readings are found to be 7 or above. What can you make out about this data distribution?,Negatively skewed data,Normal distribution,,,
rag-external,confident_wrong,e039fc9c-d96d-44e0-9933-b4c4d87bed58,Surgery,C,A,19.0,"During diagnostic laparoscopy for undescended testis, there are absent testicular vessels. What should be done next?",Inguinal exploration,Explore further,,,
rag-external,confident_wrong,778a2563-fd4e-4c60-8c72-892dc8e3429c,Pediatrics,A,C,5.75,A 5 year old child is rushed to casualty reportedly electrocuted while playing in a park. The child is apneic and is ventilated with bag and a mask. Which of the following will be the next step in the management –,Check pulses,Intubate,,,
rag-external,confident_wrong,7c8d588c-567d-4f19-9e67-c4cf90bfd6ab,Surgery,A,D,9.25,"When soft palate is paralysed, which is not seen?",Clefting of the palate,Flat palate,,,
rag-external,fixed_by_retrieval,6b3d4b5e-8390-4a7c-b107-c819f75bd3ed,Dental,A,A,3.5,Optimum BMP dose for osteogenesis is:,50 μg/mL,50 μg/mL,,,
rag-external,fixed_by_retrieval,cc0d09f8-564d-4fe5-8b22-4b7d3e4ed586,Ophthalmology,D,D,8.5,Most common tumor of lacrimal gland:,Hamate fracture,Hamate fracture,,,
rag-external,fixed_by_retrieval,376472be-1031-446f-abbd-f35a14669d7f,Dental,D,D,9.5,"8 year-old child had fractured his maxillary central incisor
10-months ago. The pulp shows no response. There is no periapical lesion in the radiograph. The treatment of choice is:",Complete debridement and apexification,Complete debridement and apexification,,,
