arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
qlora-rag,broken_by_retrieval,e8aa61af-a6f5-49ed-a221-93765caf901f,Pathology,C,D,1.0,Which of the following diseases is diagnosed with the help of the flowcytometry pattern?,Hyper IgM syndrome,Severe combined immunodeficiency disease,,,
qlora-rag,broken_by_retrieval,9b357d4d-8a53-4939-9ff7-bb6f72c53bb6,Medicine,A,D,0.375,"In arterial blood gas analysis of a patient with pCO2- 30, p02-115 and pH-7.45, patient has compensated:",Respiratory alkalosis,Metabolic acidosis,,,
qlora-rag,broken_by_retrieval,a3a5f97f-caeb-47cf-9810-18f55c7e14ea,Dental,A,B,0.5,Which is true about mucogingival flap designs,Flap should be wider at the base,Flap should be narrower at the base,,,
qlora-rag,broken_by_retrieval,16f0079a-a1c9-4a10-a9c7-2fa11f8bddba,Gynaecology & Obstetrics,A,B,0.5,Which of the following statements is true about Swyer svndrome?,Can be fertile with surrogacy,Can be fertile with ovum donation,,,
qlora-rag,broken_by_retrieval,5587f082-44da-4a6e-9c8a-d1ee7760bf60,Gynaecology & Obstetrics,B,C,0.5,"At 28 weeks gestation, amniocentesis reveals a AOD 450 of 0.20 which is at the top of third zone of the liley curve. The most appropriate management of such a case is:",Intrauterine transfusion,Repeat Amniocentesis after 1 week,,,
qlora-rag,broken_by_retrieval,4982eef9-e03f-4b52-af7d-e0e2f588358e,Medicine,C,D,2.75,"A 29-year-old, 4 months pregnant primigravida has history of juvenile myoclonic epilepsy. She has been regularly taking sodium valproate and now presents requesting for an opinion for a change in her anti-epileptic treatment. What would you sugeets her?",Continue valproate and serial drug monitoring in blood,Add lamotrigine to valproate,,,
qlora-rag,broken_by_retrieval,069b7516-54c4-4e5d-acf7-a7c92fdd2a01,Dental,C,D,0.125,The zygomatic bone does not articulate with:,Nasal bone,Temporal bone,,,
qlora-rag,broken_by_retrieval,bba8abed-d437-429f-bb4d-fd224fc9ead8,Dental,A,C,0.625,Mesial and distal wall of class V cavity depends on:,Direction of enamel rods,Contour of gingiva,,,
qlora-rag,broken_by_retrieval,257dad94-ab08-4ffc-9ddf-ac3ee3ef4c32,Dental,D,C,0.0,Guiding cusps occlude in:,All of the above.,Embrassures.,,,
qlora-rag,broken_by_retrieval,9c96643e-d192-43ab-ad4b-d1c6d863fa87,Biochemistry,C,B,0.125,Precipitation of proteins is done by all of these except:,Adjusting pH to other than the isoelectric point.,Adding acetyl alcohol and acetone.,,,
qlora-rag,confident_wrong,9f529003-8d44-442b-8dfc-f839e7f96a72,Surgery,D,B,3.125,A 56 years old patient came to casualty with history of massive hemoptysis. His routine investigations and chest X-ray was normal. Which of the following is not done to prevent hemoptysis?,Lobectomy of the affected segment,Pulmonary artery embolization,,,
qlora-rag,confident_wrong,37332d92-237c-4846-84e5-27def7ec1805,Pharmacology,B,D,4.5,Gingival hyperplasia is caused by all except,Carbamazepine,Bleomycin,,,
qlora-rag,confident_wrong,114fa1dd-9f36-4b84-9f6a-68303bc63931,Gynaecology & Obstetrics,A,C,3.0,Earliest diagnosis of pregnancy can be established safely by:,USG for fetal cardiac activity,hCG levels,,,
qlora-rag,confident_wrong,261c602e-7e6f-4cf8-9231-13182b2db849,Physiology,B,A,1.25,Which of the following is TRUE about propagated nerve action potential?,Not affected by hypoxia,Decremental,,,
qlora-rag,confident_wrong,a3cbc052-9644-4a98-85de-c4f18d88b9c7,Biochemistry,C,B,1.0,Klenow fragment is formed by loss of fragment having which activity:,5'- 3' exonuclease,3'- 5' exonuclease,,,
qlora-rag,confident_wrong,3689c9bb-4b1f-463e-bedd-abda1a6c24ea,Dental,B,C,2.375,Which of the following is rare in children?,Dental cysts,Cherubism,,,
qlora-rag,confident_wrong,358a3866-8fc2-405e-b7e6-383904748d15,Surgery,B,D,3.25,"A 56-year-old female presents with nocturnal pain in the right thumb, index and middle finger for the past 3 months. All of the following provocative tests can be performed for the diagnosis of the condition except :",Finkelstein test,Tourniquet test,,,
qlora-rag,confident_wrong,5a6d126f-f4cd-4cf2-b58d-6390a88f80f1,Dental,D,C,2.75,Most commonly missing primary teeth are:,Maxillary canines,Maxillary lateral incisors,,,
qlora-rag,confident_wrong,36eda6ec-6654-41ba-937b-60a3052e6c49,Psychiatry,D,C,1.5,A patient believes he is the most important person in the world than anyone so his neighbors and family is trying to harm him as they are jealous of him. His wife says otherwise and says he behaves like this recently only before he was working as a school-teacher peacefully and brought to OPD. He is suffering from:,"Delusion of grandiosity, persecution and reference",Delusion of grandiosity and persecution,,,
qlora-rag,confident_wrong,90d54d35-0bda-43a5-a459-85e2e2f8c572,Dental,A,B,1.25,An isolated area in which root is denuded of bone is intact and covered only by periosteum and overlying gingiva is called,Fenestration,Dehiscence,,,
qlora-rag,fixed_by_retrieval,95deaff5-dc0b-42a7-b257-573f3de4c88d,Gynaecology & Obstetrics,D,D,2.25,Best Age to start bone mineral density test in female.,After 65 years,After 65 years,,,
qlora-rag,fixed_by_retrieval,defe1c85-63fe-4a16-ba10-b3749975818a,Anatomy,A,A,3.125,The cribriform plate connects:,Nasal cavity and anterior cranial fossa,Nasal cavity and anterior cranial fossa,,,
qlora-rag,fixed_by_retrieval,7aa9be4f-bb90-4284-8816-b7360a1a444b,Physiology,C,C,0.625,All of the following increases calcium absorption from the gut except,Alkaline pH in the gut,Alkaline pH in the gut,,,
qlora-rag,fixed_by_retrieval,e995894b-0611-4ae2-ae1f-0d35025845ae,Pharmacology,A,A,0.75,Preferred drug for the treatment of uncomplicated grade 2 hypertension in a 48 year old man is,Chlohalidone,Chlohalidone,,,
qlora-rag,fixed_by_retrieval,86e26dc5-2f48-45b1-82df-b14ffbc11fcb,ENT,A,A,0.25,Which is the most common site for congenital cholesteatoma,Anterior superior quadrant of tympanic membrane,Anterior superior quadrant of tympanic membrane,,,
qlora-rag,fixed_by_retrieval,8d6e792f-bd4c-4f9e-b9a4-63484a7f78a6,Dental,A,A,0.625,What should be the best treatment option for the extraction socket shown in  Fig,Ovate Pontic,Ovate Pontic,,,
qlora-rag,fixed_by_retrieval,51118d57-ac58-4184-8c9b-107cea78ed7a,Dental,B,B,0.5,At what stage of embryonic development does initial tooth development begins:,6th week,6th week,,,
qlora-rag,fixed_by_retrieval,3c7f7351-8925-4c0e-89e7-1d4b8e806797,Dental,A,A,1.5,"Which of the following series act as the best space
maintainer in a child's mouth?",Restored deciduous tooth,Restored deciduous tooth,,,
qlora-rag,fixed_by_retrieval,e69b4af9-37f2-4406-b962-bf7ebe20bc01,Surgery,A,A,2.75,Both bone and disc spaces are destroyed in-,Tuberculosis,Tuberculosis,,,
qlora-rag,fixed_by_retrieval,cfb81145-9c8a-41bf-975a-bd76f75be629,Medicine,C,C,3.0,"Hypereosinophilic syndrome is a disease characterized by elevated eosinophil count in the blood for at least 6 months, without any recognizable cause, with involve-ment of either heart, nervous system or bone marrow. What should be the eosinophil count for diagnosis?",>1500/ mm3,>1500/ mm3,,,
qlora-rag,near_miss,65c68635-397b-4ed9-b4a3-8e798c91613e,Medicine,D,A,0.125,In pregnancy cardiac output increases 30 to 40% during?,28 weeks of gestation,20th week of pregnancy,,,
qlora-rag,near_miss,25883737-550d-4264-ad32-bc1a320ca9a7,Dental,B,A,0.125,The instrument shown in fig is used for,Slow separation,Rapid separation,,,
qlora-rag,near_miss,17f11735-64fc-47ec-b06b-c9124e27c1cf,Surgery,C,A,0.125,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is:,Lateral Oblique view,OPG,,,
qlora-rag,near_miss,f7c7aa89-a69c-495e-8db6-f39c604165d8,Radiology,B,A,0.0,Cementosis are commonly seen in:,Females in mandible,Females in maxilla,,,
qlora-rag,near_miss,d0aaea50-8928-4b40-ad20-7161f679bbc0,Anatomy,A,B,0.125,Which of the following marked muscles is Involved in Opening of jaw?,A,B,,,
qlora-rag,near_miss,1bb2cc45-79b6-45f8-add8-e6832e5090f0,Microbiology,B,C,0.0,For which of the following is PPV-23 is most beneficial:,Sickle cell anemia patient,Patient with recurrent rhinitis and sinusitis,,,
qlora-rag,near_miss,88e59728-2686-456d-b949-71aa89d0a69a,Dental,B,C,0.125,Lateral movement of condyle is caused by:,Both lateral and medial pterygoid muscle,Epsilateral lateal pterygoid muscle,,,
qlora-rag,near_miss,98035f50-53b3-47c8-b340-392237162fb2,Dental,C,A,0.0,Condensation reaction occurs in,Polysulfide,Agar,,,
qlora-rag,near_miss,6c1d34b8-cd40-4ca9-8d17-c64a1fde6a83,Medicine,C,D,0.125,Not a feature of infective endocarditis:,Thrombus in left atria.,Perforation of cusp.,,,
qlora-rag,near_miss,b21a38b8-c966-425a-a140-9ff775745931,Dental,A,C,0.0,Least condensation pressure is required in:,"Spherical amalgam alloy, high copper","Admixed amalgam alloy, low copper",,,
qlora-rag,wrong,5fd61c9e-450e-415b-a055-24f62de4cdd6,Dental,B,A,0.625,In case of wider osteotomy planned happen which should not be done,Wider implant,Press buccal and lingual plate,,,
qlora-rag,wrong,1caf6e69-ee58-47fd-8e04-6f736055365c,Dental,A,D,0.625,All are true about trauma from occlusion except,Trauma to Marginalized gingiva,No pocket,,,
qlora-rag,wrong,3fa4b9e1-0992-4f0f-b2c5-c3b620d91bd2,Pathology,A,B,0.625,The most common odontogenic tumour which occurs in relation to an unerupted tooth in the anterior maxilla:,Odontogenic adenomatoid tumour,Odontoma,,,
qlora-rag,wrong,a28116b7-2730-4820-afa7-5fc859ef76f4,Anatomy,A,C,0.75,"Lateral part of middle cranial fossa and posterior
cranial fossa are divided by:",Petrous temporal bone,Transverse groove,,,
qlora-rag,wrong,e039fc9c-d96d-44e0-9933-b4c4d87bed58,Surgery,C,A,0.375,"During diagnostic laparoscopy for undescended testis, there are absent testicular vessels. What should be done next?",Inguinal exploration,Explore further,,,
qlora-rag,wrong,ce496f69-f41a-4589-9da2-c8bdb4a87226,Dental,B,D,0.25,Contraindication of band and Loop space maintainer are all except,Single tooth missing in posterior region,Lower anterior crowding,,,
qlora-rag,wrong,3f5b3234-71dc-4d1e-a1fe-265407c17c5a,Gynaecology & Obstetrics,B,D,0.75,True about congenital diseases in diabetes mellitus is all except:,6-10% cases are associated with major congenital abnormality,Insulin can be given,,,
qlora-rag,wrong,dff05507-4258-4cee-97a0-0327dd30b57f,Medicine,C,A,0.375,Which of these is the Renal feed for CKD patients?,High calorie low volume,Low calorie low volume,,,
qlora-rag,wrong,c1069842-8261-4a97-b1bb-5faeaacc6435,Pharmacology,C,A,0.375,"Patient is a known case of epilepsy, taking levetiracetam 1 gm BD. He is now seizure free from 2 years but he developed agitation and anger issues interfering with day to day activities as a result of the drug intake. What should be the next best step?",Slowly taper the drug over next 6 months,Stop levetiracetam and start on a different antiepileptic,,,
qlora-rag,wrong,7c6fe266-845b-4f4b-8ddb-ca5d016e0396,Social & Preventive Medicine,D,B,0.25,Key indicator for AFP surveillance ?.,At least one case of non-polio AFP per year per 100000 population of under 15 years,At least one case of non-polio AFP per year per 100000 population of under 5 year,,,
