question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,Serum HBsAg quantification has been an important marker of response due to its correlation with the presence of cccDNA and it is considered a surrogate marker of infected hepatocytes.,,
0150cd44-7abc-4723-8a8a-c17de3f20004,Biomineralization is a process by which inorganic `metals' are incorporated in the body and made a pa of biological structures. Example of Biomineralization is seen in:,Mollusc shell,Formation of bone and teeth.,,
07f12102-6d93-4392-a50f-fb7424f73683,According to Kim and colleagues which of the following describe type IV isthmus?,Complete or incomplete isthmus between three or more canals,Type IV isthmus is a right-skew distribution but is symmetrical in its limiting form.,,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,"Dry heat destroys microorganisms by denaturing their proteins and disrupting their cellular structures, leading to cell death.",,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,"A high angle case is a patient with a high angle kappa, which represents the angle between the visual axis and the pupillary axis.",,
12b43c0e-c864-4257-90ea-4641077d19ba,Hard swelling at the angle of mandible with numerous draining sinuses is most likely:,Actinomycosis,Ameloblastoma,,
1406e461-b277-4d57-9ff7-9ec3d60b97fe,Adrenaline used for controlling of bleeding during surgery may result in:,Cardiac arrhythmias,"Rapid rise in heart rate, blood pressure, and random blood sugar level.",,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,"The latest technique for obtaining bone grafts without damaging vital structures, vessels, or veins is based on the use of a vascularized bone graft, which is harvested from the iliac crest and is sufficient for bony union.",,
143fc0f8-8075-4833-a0e5-900ed6562a3a,Sjogren's syndrome includes all except:,Lymphoma,Anemia of chronic disease is the most common presentation.,,
17ca6005-346f-4f14-b1a3-430d3667d7f0,Black deposits on conjunctiva in a patient with glaucoma are seen with the use of:,Epinephrine,"Topical glaucoma drops, and rarely of other topical medications, can lead to progressive conjunctival inflammation and scarring.",,
17f11735-64fc-47ec-b06b-c9124e27c1cf,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is:,Lateral Oblique view,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is the axillary lateral view.,,
185c4942-7886-4e49-b242-6634e83b0efb,Which of the following amino acids does not include post-translational modification?,Selenocysteine,Phenylalanine,,
18ce280d-98c7-4a22-b4b7-038974b16c71,"All are true about nitric oxide, EXCEPT:",Acts via cAMP,Nitric oxide is a colourless gas formed by combustion in a reducing atmosphere. It is present in concentrations of up to 9 p.p.m. in atmospheric air and in concentrations of up to 1000 p.p.m. in cigarette smoke.,,
18feef0f-7e8e-4eca-b9b3-57f3973b9a5b,In which of the following conditions is the role of microbial plaque most obscure:,Desquamative gingivitis,"In the development of periodontitis, the role of microbial plaque is most obscure, as it is not the sole factor contributing to the disease, and the host's inflammatory response also plays a significant role.",,
1a31abe7-fbc1-41bc-b42d-fab66edfef39,The most important career of cholesterol in plasma is:,LDL,"The most important career of cholesterol in plasma is as a storage form of cholesterol, with the majority of cholesterol transported by lipoproteins being in this form.",,
