arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
base,confident_wrong,f0e91618-fb9d-4218-9c54-3cf1ef81a6fe,Biochemistry,D,C,10.25,"A child was brought to the hospital was found to have hypoglycemia, hepatomegaly and accumulation of highly branched glycogen called limit dextrins. He is likely to be suffering from:",Cori's disease,von Gierke's disease,,,
base,confident_wrong,dabfee93-2e1b-4e6c-bff6-03c025bd986f,Pathology,D,A,1.75,A 28 year old man has lenticonus and end stage renal disease now. His maternal uncle also died of the same illness. What is the most likely diagnosis?,Alport syndrome,Autosomal dominant polycystic kidney disease,,,
base,confident_wrong,d42c3d8b-6495-4aeb-b6a9-bce8b4e95d91,Dental,D,A,13.25,"Considering the morphology of root and pulp canals, a root canal instrument should be placed in what direction to gain access to the Mesiofacial root of permanent maxillary first molar:",From the distolingual,From the mesiobuccal,,,
base,confident_wrong,abd507d7-232c-46cb-8605-cb573b86ee2b,Dental,B,C,4.25,Study model with mounted base and trimmed height is:,70 mm,60 mm,,,
base,confident_wrong,8c2a3258-e79f-4872-9de3-a0abc701f711,Surgery,B,A,27.5,Which facial bone is most prone to fracture?,Nasal,Mandible,,,
base,confident_wrong,f810f86c-2c67-44e8-b0df-0aafe73fa989,Dental,A,B,1.5,Free gingival groove represents,Histologic depth of gingival sulcus,False pocket depth,,,
base,confident_wrong,a28af149-bf4b-4c9a-a4bf-5f6387f945e9,Surgery,B,C,6.75,A young patient has been admitted with A and had massive hemorrhage. He needs to be transfused with large amounts of fluids. Which IV cannula is preferred?,Green,Blue,,,
base,confident_wrong,7c6fe266-845b-4f4b-8ddb-ca5d016e0396,Social & Preventive Medicine,D,B,3.75,Key indicator for AFP surveillance ?.,At least one case of non-polio AFP per year per 100000 population of under 15 years,At least one case of non-polio AFP per year per 100000 population of under 5 year,,,
base,confident_wrong,2690d305-171f-4fbe-8053-c8ac73b7e550,Pharmacology,A,B,3.25,Steroids:,Steroids reduce the rate of repair of tissues thus delays the healing,Exacerbate the inflammatory response,,,
base,confident_wrong,a318b5cf-a25d-4860-878c-e1d0295fa46f,Pediatrics,D,A,24.0,"A child who was normal at birth develops chronic liver failure and muscle weakness at 3 months of age. On investigations, serum glucose is low, along with ketoacidosis and decreased pH. ALT and AST are raised. Blood lactate and uric acid levels are normal. Intravenous glucagon given after meals raises the blood glucose levels, but does not raise glucose when given after an overnight fast. Liver biopsy shows increased glycogen in liver. Which is the enzyme likely to be defective in this child?",Debranching enzyme,Glucose-6-phosphatase,,,
