question_id,question,reference,candidate,human_score,notes
0009b2fd-7e72-4ed0-b486-92ccb24e43f3,Which of the following marker persists in chronic hepatitis and recurrent hepatitis?,IgG Anti HbcAg,The HBsAg persists in chronic hepatitis and recurrent hepatitis.,,
067ce5ef-1dae-4f0a-8a61-bcd7750dd379,Foramen caecum is seen in:,Option 1 and 2,"The foramen caecum is seen in the embryonic development of the human body, specifically as a remnant of the primitive gut tube.",,
0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,"The chicken pox infection in the mother is most dangerous for the baby when it occurs between 13 to 20 weeks of gestation, as this is when the risk of fetal varicella syndrome is highest.",,
0d8286b5-43b3-4ea2-9af4-d39822a11972,Dry heat destroys microorganisms by,Oxidation,Dry heat destroys microorganisms by denaturing proteins and disrupting cellular structures through the application of high temperatures in the absence of moisture.,,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,"A high angle case refers to a Class II malocclusion characterized by a vertical growth pattern, often involving increased overbite or open bite, and is typically more challenging to treat.",,
14085677-1f80-45fe-a525-0118e462b77c,"Latest technique by which bone graft is obtained without
damaging vital structure, vessels/veins is based on?",Piezoelectric vibration,"The latest technique for obtaining bone graft without damaging vital structures or vessels is based on minimally invasive harvesting methods, such as the use of specialized instruments to access the iliac crest with reduced trauma.",,
143fc0f8-8075-4833-a0e5-900ed6562a3a,Sjogren's syndrome includes all except:,Lymphoma,Sjogren's syndrome includes all except xerophthalmia.,,
157f841a-269b-4207-825d-2a62dd8cd197,Maximum steroid produced by fetal adrenal:-,Coisol,"The maximum steroid produced by the fetal adrenal gland is DHEA-S (dehydroepiandrosterone sulfate), which is synthesized using cholesterol and used by the placenta to produce estrogens.",,
185c4942-7886-4e49-b242-6634e83b0efb,Which of the following amino acids does not include post-translational modification?,Selenocysteine,"The amino acid that does not include post-translational modification is creatine, as it does not contain lysine or the other three amino acids that are part of creatine.",,
18ce280d-98c7-4a22-b4b7-038974b16c71,"All are true about nitric oxide, EXCEPT:",Acts via cAMP,"Nitric oxide is a potent vasodilator, neurotransmitter, and has a very short half-life, but it is not a vasoconstrictor.",,
18feef0f-7e8e-4eca-b9b3-57f3973b9a5b,In which of the following conditions is the role of microbial plaque most obscure:,Desquamative gingivitis,"The role of microbial plaque is most obscure in coronary heart disease, as the association between specific microbes and atherosclerosis remains unclear and debated.",,
1c392503-537c-4926-a3bc-3daf8ddefeb3,"Open reduction of condylar fracture is strongly indicated in
(Or)
Absolute indication for open reduction in condylar fractures",Lateral displacement of the condyle (or) Lateral fracture dislocation condyle,"An absolute indication for open reduction and internal fixation in condylar fractures is intra-articular extension, as it is necessary to restore joint congruity and prevent post-traumatic arthritis.",,
1ca4f1ef-d7dd-4909-bb00-e0c5700e2bf8,"AIDS, secondary infection will be all except",Rubella,"AIDS, secondary infection will be all except ""strictly speaking, the term AIDS refers only to the last stage of the HIV infection.""",,
1cc77b91-e4a8-42ce-8182-c61f6c7cffea,Which of the following to reduce for occlusal equilibration:,Upper buccal,"To reduce for occlusal equilibration, guiding grooves should be placed in the central, mesial, and distal fossae, as well as in the buccal and lingual developmental grooves and triangular ridges.",,
1e94a9ca-55e4-4e9a-bf7b-cb2dc4ba2ab5,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",HAV,"SD plasma transfusion is likely to reduce the risk of lipid-enveloped virus infections, but it does not eliminate the risk entirely. However, since SD plasma is effective against lipid-enveloped viruses, the likelihood of infection from such viruses is significantly decreased.",,
1fe1bd49-93cd-4bea-8beb-fdf6cc819421,Absence of which of the following milestone in 3 yr old chitd is called delayed development?,Feeding by spoon,The absence of a milestone such as walking without support by 18 months is called delayed development.,,
